French,English
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
arrivé,come
longtemps,long time
heures,hours
vont,will
pendant,while
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
leurs,their
donné,given
train,train
façon,way
écoute,listen
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
vers,towards
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
parti,left
nouvelle,new
boulot,job
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
filles,girls
